clip,frame_idx,method,block_size,search_radius,metric,mse,psnr,residual_entropy,runtime_s
clean_translation,1,baseline,,,,781.25,19.20290330515779,0.1583317479797322,9.041978046298027e-06
clean_translation,1,block,8,4,sad,0.0,inf,-1.4428232973175175e-12,0.009343915851786733
clean_translation,1,block,8,4,mse,0.0,inf,-1.4428232973175175e-12,0.010047457879409194
clean_translation,1,block,16,4,sad,0.0,inf,-1.4428232973175175e-12,0.0041009169071912766
clean_translation,1,block,16,4,mse,0.0,inf,-1.4428232973175175e-12,0.004406500142067671
clean_translation,1,block,16,8,sad,0.0,inf,-1.4428232973175175e-12,0.014948708936572075
clean_translation,1,block,16,8,mse,0.0,inf,-1.4428232973175175e-12,0.015531334094703197
clean_translation,1,block,32,8,sad,371.09375,22.43596720890912,0.07596339667109456,0.01028545806184411
clean_translation,1,block,32,8,mse,371.09375,22.43596720890912,0.07596339667109456,0.010582083137705922
clean_translation,2,baseline,,,,781.25,19.20290330515779,0.1583317479797322,8.249888196587563e-06
clean_translation,2,block,8,4,sad,0.0,inf,-1.4428232973175175e-12,0.009533332893624902
clean_translation,2,block,8,4,mse,0.0,inf,-1.4428232973175175e-12,0.009956874884665012
clean_translation,2,block,16,4,sad,0.0,inf,-1.4428232973175175e-12,0.004167374921962619
clean_translation,2,block,16,4,mse,0.0,inf,-1.4428232973175175e-12,0.004320875043049455
clean_translation,2,block,16,8,sad,0.0,inf,-1.4428232973175175e-12,0.014988208888098598
clean_translation,2,block,16,8,mse,0.0,inf,-1.4428232973175175e-12,0.015189749887213111
clean_translation,2,block,32,8,sad,273.4375,23.762222861655033,0.05899685966754355,0.009788875002413988
clean_translation,2,block,32,8,mse,273.4375,23.762222861655033,0.05899685966754355,0.009982000105082989
clean_translation,3,baseline,,,,781.25,19.20290330515779,0.1583317479797322,6.00004568696022e-06
clean_translation,3,block,8,4,sad,0.0,inf,-1.4428232973175175e-12,0.010043540969491005
clean_translation,3,block,8,4,mse,0.0,inf,-1.4428232973175175e-12,0.010244915960356593
clean_translation,3,block,16,4,sad,0.0,inf,-1.4428232973175175e-12,0.004051665775477886
clean_translation,3,block,16,4,mse,0.0,inf,-1.4428232973175175e-12,0.0043017498683184385
clean_translation,3,block,16,8,sad,0.0,inf,-1.4428232973175175e-12,0.014429624890908599
clean_translation,3,block,16,8,mse,0.0,inf,-1.4428232973175175e-12,0.01515333284623921
clean_translation,3,block,32,8,sad,214.84375,24.80957636685516,0.04822910276053063,0.009686250006780028
clean_translation,3,block,32,8,mse,214.84375,24.80957636685516,0.04822910276053063,0.010139790829271078
clean_translation,4,baseline,,,,781.25,19.20290330515779,0.1583317479797322,6.417045369744301e-06
clean_translation,4,block,8,4,sad,0.0,inf,-1.4428232973175175e-12,0.009744165930896997
clean_translation,4,block,8,4,mse,0.0,inf,-1.4428232973175175e-12,0.009607332991436124
clean_translation,4,block,16,4,sad,0.0,inf,-1.4428232973175175e-12,0.004333750111982226
clean_translation,4,block,16,4,mse,0.0,inf,-1.4428232973175175e-12,0.00414249999448657
clean_translation,4,block,16,8,sad,0.0,inf,-1.4428232973175175e-12,0.01865425007417798
clean_translation,4,block,16,8,mse,0.0,inf,-1.4428232973175175e-12,0.015557833015918732
clean_translation,4,block,32,8,sad,0.0,inf,-1.4428232973175175e-12,0.009622209006920457
clean_translation,4,block,32,8,mse,0.0,inf,-1.4428232973175175e-12,0.010009750025346875
clean_translation,5,baseline,,,,781.25,19.20290330515779,0.1583317479797322,4.916917532682419e-06
clean_translation,5,block,8,4,sad,0.0,inf,-1.4428232973175175e-12,0.00957750016823411
clean_translation,5,block,8,4,mse,0.0,inf,-1.4428232973175175e-12,0.010040499968454242
clean_translation,5,block,16,4,sad,0.0,inf,-1.4428232973175175e-12,0.004213292151689529
clean_translation,5,block,16,4,mse,0.0,inf,-1.4428232973175175e-12,0.004292499972507358
clean_translation,5,block,16,8,sad,0.0,inf,-1.4428232973175175e-12,0.014544999925419688
clean_translation,5,block,16,8,mse,0.0,inf,-1.4428232973175175e-12,0.015110583044588566
clean_translation,5,block,32,8,sad,0.0,inf,-1.4428232973175175e-12,0.009796250145882368
clean_translation,5,block,32,8,mse,0.0,inf,-1.4428232973175175e-12,0.010417083045467734
